Rank,Name,Symbol,Markey Cap (cleaned),Circulating (cleaned),% 1h,% 24h,% 7d
717,Mithril,MITH,4426008,913756231,0.83%,-3.15%,-11.85%
718,DistX,DISTX,4384090,32148833,1.81%,-7.30%,-17.08%
719,VNDC,VNDC,4389182,1.02E+11,1.19%,1.20%,-1.50%
720,SwftCoin,SWFTC,4363648,4004999999,0.78%,-0.87%,-4.71%
722,ChronoCoin,CRN,4130253,2221053119,-4.56%,-4.51%,-79.16%
724,Polis,POLIS,4309874,9831891,1.33%,4.50%,0.27%
726,Playgroundz,IOG,4285343,28545120,-6.25%,48.81%,-24.99%
727,bitCNY,BITCNY,4263389,28245600,-0.03%,0.34%,1.55%
728,United Traders Token,UTT,4258792,37508999,2.00%,10.42%,21.25%
729,DEXTools,DEXT,4335947,89034332,1.96%,5.40%,-0.89%
730,qiibee,QBX,4216698,785529689,1.84%,6.61%,20.39%
732,Neumark,NEU,4175333,36542698,0.06%,-3.84%,-7.23%
734,GHOST,GHOST,4178555,14561770,0.17%,-1.75%,5.13%
735,Hashshare,HSS,4155337,102590476,0.64%,-0.16%,0.96%
736,Cloudbric,CLB,4073218,561056282,0.22%,2.74%,5.18%
738,Kambria,KAT,4020645,2187206123,-1.69%,-21.74%,-8.80%
739,Morpheus Labs,MITX,3936068,392665500,-0.80%,-4.60%,-23.54%
740,SmartMesh,SMT,4089348,1340519343,0.84%,-2.13%,-8.66%
741,ECC,ECC,4066643,25000000000,1.84%,38.92%,-28.86%
743,RING X PLATFORM,RINGX,4034357,74816059,2.07%,-6.97%,-8.24%
745,DDKoin,DDK,4019403,1710000,-0.54%,1.83%,-6.33%
746,XMax,XMX,4031666,14880209413,0.40%,0.73%,-8.72%
747,Viacoin,VIA,3997072,23171486,1.10%,-6.50%,-7.20%
748,Bitcore,BTX,3963482,17938342,2.16%,2.68%,10.91%
749,Hakka.Finance,HAKKA,3983216,103105635,0.79%,-7.77%,-24.56%
750,Cream Finance,CREAM,3948787,149928,1.91%,-16.16%,-31.74%
751,DigitalBits,XDB,3907637,383409924,-0.14%,-2.95%,-16.43%
753,PolySwarm,NCT,3905368,1546457130,-8.74%,-2.25%,76.08%
754,Frontier,FRONT,3847004,10145007,-3.48%,-13.03%,-15.74%
755,Meta,MTA,3877031,3422051,-0.83%,-12.00%,-57.60%
756,Agrocoin,AGRO,3792467,121944271,0.00%,0.00%,0.00%
757,Phore,PHR,3731346,22390463,2.73%,-0.93%,10.22%
758,BitMart Token,BMX,3776854,171676755,2.16%,2.72%,1.42%
759,Qubitica,QBIT,2762417,808675,1.84%,63.74%,-53.63%
760,Egretia,EGT,3743808,4218701582,1.35%,-6.53%,-2.10%
761,AIDUS TOKEN,AIDUS,3865228,437852797,3.50%,10.93%,16.52%
763,QLC Chain,QLC,3717131,240000000,1.28%,-5.57%,-25.30%
764,Flow Protocol,FLOW,3688918,7889862,0.01%,0.07%,0.03%
765,MediShares,MDS,3683206,1199999624,2.76%,-0.58%,-16.11%
767,Wing,WING,3710000,250000,0.65%,-9.34%,-20.96%
768,DATA,DTA,3672481,11499993344,1.00%,-5.77%,-9.86%
769,Jibrel Network,JNT,3672493,169843069,5.78%,11.39%,-9.84%
770,SpaceChain,SPC,3665060,514923520,1.84%,-18.79%,19.57%
771,Pillar,PLR,3619628,259348201,1.52%,1.09%,-7.00%
772,Sense,SENSE,3652079,804604320,16.51%,7.68%,-6.94%
773,Ethereum Meta,ETHM,3600077,50010379198,2.06%,-0.78%,34.12%
774,ZrCoin,ZRC,3605107,4988893,1.63%,3.57%,2.17%
775,VeriBlock,VBK,3582077,667305895,6.69%,1.87%,42.28%
777,MicroBitcoin,MBC,3576031,1.89E+11,2.06%,-0.10%,-1.10%
778,Blox,CDT,3543843,674579184,0.02%,-6.57%,-20.85%
780,GlobalBoost-Y,BSTY,3525721,17950579,-11.64%,-15.67%,266.98%
781,UnlimitedIP,UIP,3501668,1327878350,-0.39%,-2.26%,-14.85%
782,GridCoin,GRC,3487296,408350850,1.84%,4.64%,8.73%
783,inSure,SURE,3473534,3553989974,1.84%,-38.46%,-35.81%
784,SONM,SNM,3465804,359600000,-0.68%,-4.29%,-5.28%
785,Gulden,NLG,3440891,524784093,-0.01%,-6.83%,-14.40%
786,SENSO,SENSO,3426050,12241334,-0.30%,-0.25%,11.83%
787,Nucleus Vision,NCASH,3416627,7017757766,-2.89%,-2.60%,-8.62%
788,Circuits of Value,COVAL,3415980,1000000000,1.84%,-5.90%,-23.39%
790,Credits,CS,3380398,249368300,1.52%,3.30%,14.40%
792,TEMCO,TEMCO,3338786,3264225050,2.65%,0.67%,-6.05%
793,CUTcoin,CUT,3365122,117375244,1.84%,0.35%,15.40%
794,SymVerse,SYM,3355010,66969061,2.06%,-0.47%,1.88%
795,Airbloc,ABL,3205645,252376419,-4.25%,-4.24%,3.84%
797,Raven Protocol,RAVEN,3339940,4343079499,13.98%,7.55%,6.87%
798,BIZZCOIN,BIZZ,3309598,3800330,0.33%,-1.39%,-2.03%
799,Idena,IDNA,3286373,32236977,1.24%,2.04%,-8.40%
800,SunContract,SNC,3307307,122707503,0.01%,0.77%,0.86%
801,Flash,FLASH,3293981,900000000,1.84%,-2.33%,3.27%
802,Tierion,TNT,3290369,428481269,1.98%,-0.65%,-1.74%
803,Robotina,ROX,3290087,304947473,1.72%,9.78%,9.20%
804,SingularDTV,SNGLS,3284761,600000000,3.59%,-10.03%,-15.75%
805,EURBASE,EBASE,3281182,2884334,1.43%,5.06%,7.41%
806,INLOCK,ILK,3288555,1256159480,2.06%,0.44%,-4.77%
807,Zel,ZEL,3247257,115419375,1.14%,1.50%,-3.23%
808,VIBE,VIBE,3205385,260136427,1.84%,-5.20%,-15.13%
809,TronEuropeRewardCoin,TERC,3244599,204313578,1.26%,-1.45%,-9.64%
810,YOYOW,YOYOW,3188690,485846321,-0.46%,-10.18%,-20.21%
811,LINKA,LINKA,3199055,694150020,1.61%,-0.79%,15.17%
812,UCA Coin,UCA,3275168,1536798955,27.12%,19.84%,106.79%
813,Lykke,LKK,3194410,316809739,0.02%,-4.89%,-2.77%
814,DAOstack,GEN,3367489,46832939,-18.86%,-36.52%,-20.65%
815,BlackCoin,BLK,3247992,60257178,-15.95%,-17.57%,-56.73%
816,U Network,UUU,3158968,6994600000,-0.21%,-5.19%,-10.11%
818,XTRABYTES,XBY,3142277,430000000,1.84%,0.66%,-1.16%
819,Earneo,RNO,3144269,254552776,2.93%,7.64%,9.13%
820,ColossusXT,COLX,3139925,12361558271,1.26%,-1.96%,-14.04%
821,EXMO Coin,EXM,3072613,713563585,-3.14%,-2.74%,6.54%
822,YOU COIN,YOU,3118620,556120198,-2.76%,4.16%,-7.86%
824,Counterparty,XCP,3105897,2615258,-5.18%,-5.76%,-3.75%
825,BaaSid,BAAS,3093336,5000000000,0.08%,-12.67%,-11.49%
827,Wowbit,WWB,3083871,277777778,1.84%,4.19%,6.71%
828,Kryll,KRL,3081368,30000443,1.74%,2.52%,0.43%
829,NIX,NIX,3074487,47367900,10.96%,-12.27%,-3.55%
830,Dentacoin,DCN,3083797,6.97E+11,4.91%,1.34%,-10.04%
831,Refereum,RFR,3060031,4999180100,0.02%,-4.05%,3.33%
832,MarketPeak,PEAK,3049376,15905712,-0.15%,0.72%,19.04%
833,Apex,CPX,3132804,517390718,2.00%,0.23%,-22.45%
834,Acute Angle Cloud,AAC,3043796,250000000,0.95%,-1.70%,-11.31%
835,MintCoin,MINT,3043548,24947260808,1.84%,4.19%,33.39%
836,DEX,DEX,3037173,191542291,1.85%,0.34%,-36.02%
837,Hydro Protocol,HOT,3030571,702000000,-6.38%,-8.91%,-26.25%
838,Atlas Protocol,ATP,3002305,2576066703,0.89%,-2.68%,-11.69%
839,Cryptopay,CPAY,3002764,68372364,2.06%,-11.92%,14.64%
840,YFDAI.FINANCE,YF-DAI,2989275,5745,1.28%,-1.21%,-17.28%
841,Tidex Token,TDX,2967418,9504980,1.84%,99.63%,3.67%
842,DeFinition,DZI,2964129,2333767,-1.68%,-2.32%,117.90%
843,Burger money,BURGER,2949876,5391812,1.26%,-0.61%,-1.82%
844,ZIMBOCASH,ZASH,2946957,1134374175,0.18%,0.82%,1.36%
845,Diamond,DMD,2954297,3536776,-1.53%,-16.68%,-8.04%
846,EDUCare,EKT,2938700,724297908,-1.24%,-5.09%,-21.32%
847,Minereum,MNE,2926418,10352688,1.27%,0.04%,-14.71%
848,Agrello,DLT,2906114,87906739,0.38%,-0.39%,-5.91%
849,SpankChain,SPANK,2870726,300043386,5.42%,6.31%,-13.26%
850,GoCrypto Token,GOC,2862562,203327910,2.06%,-0.26%,-16.55%
851,Spartan Protocol,SPARTA,2867314,40861436,0.76%,-1.23%,-17.12%
852,Rotharium,RTH,2819082,3357270,1.70%,2.67%,1.43%
853,GAPS,GAP,2679409,10000000,-3.50%,-2.59%,-10.94%
854,Abyss,ABYSS,2824121,228614892,0.43%,-3.76%,-15.90%
855,NextDAO,NAX,2780375,1487605540,1.26%,-0.77%,-5.99%
856,Eureka Coin,ERK,2753983,66475033,1.36%,-6.24%,-10.70%
858,Viberate,VIB,2729370,193779794,1.45%,-5.82%,-18.43%
859,CACHE Gold,CGT,2731925,44145,0.34%,1.24%,1.63%
860,Rapidz,RPZX,2724620,1717254284,1.06%,-6.39%,1.36%
861,Rupiah Token,IDRT,2716259,39774146176,0.04%,0.30%,-0.08%
862,Olive,OLE,2703575,277007242,1.84%,4.19%,6.71%
863,Mobius,MOBI,2694364,515082884,-0.18%,-12.48%,-16.45%
864,EOSDT,EOSDT,2691718,2642505,1.82%,2.42%,2.48%
865,NaPoleonX,NPX,2678949,24320139,0.01%,0.07%,-31.53%
866,42-coin,42,2676760,42,2.39%,65.91%,18.61%
867,Monetha,MTH,2609649,402400000,-2.98%,-6.00%,-10.28%
868,Xiotri,XIOT,2630208,4418,2.16%,-12.37%,-25.78%
869,Databroker,DTX,2648017,75970213,6.80%,0.19%,37.02%
870,Mcashchain,MCASH,2610451,998327161,1.20%,32.78%,3.29%
871,LikeCoin,LIKE,2615772,342591165,-1.89%,0.80%,-10.73%
872,HitChain,HIT,2598856,61440000000,-0.67%,-5.72%,1.18%
873,DAPS Coin,DAPS,2604987,57977796500,0.08%,-6.86%,-20.00%
874,Presearch,PRE,2597600,172742424,0.38%,0.73%,-0.56%
875,Qitmeer,PMEER,2586149,85581490,1.87%,1.54%,3.80%
876,Trade Token X,TIOX,2575471,85223647,1.91%,2.74%,23.45%
877,Amoveo,VEO,2573537,68033,1.84%,23.43%,64.62%
878,TERA,TERA,2531451,844711128,0.50%,4.76%,8.79%
879,Tripio,TRIO,2553301,3750000000,3.04%,1.56%,-4.20%
880,Merculet,MVP,2564423,4268447947,1.59%,-8.52%,-18.29%
881,NuBits,USNBT,2534685,10981667,1.83%,22.38%,-9.05%
882,VNT Chain,VNT,2512763,2717613095,-1.76%,-1.66%,-12.76%
883,xBTC,xBTC,2508208,5906185,0.88%,-6.30%,-30.80%
884,Fatcoin,FAT,2508662,122655308,1.16%,1.45%,5.82%
885,Sapien,SPN,2492067,220657460,2.06%,-0.10%,113.26%
886,Cardstack,CARD,2479056,2357982917,3.78%,0.86%,11.24%
887,BlockStamp,BST,2471248,26559337,1.84%,38.43%,-28.69%
889,eBitcoin,EBTC,2469929,18897126,2.06%,-0.10%,-1.10%
890,ScPrime,SCP,2446926,27591317,-8.10%,-13.40%,-2.92%
891,PIBBLE,PIB,2444347,16320690000,0.14%,-0.65%,-3.49%
892,ZVCHAIN,ZVC,2441269,903582587,0.01%,0.07%,0.04%
893,Compendia,BIND,2438461,102500000,1.84%,-27.18%,-26.99%
894,Zipper,ZIP,2434750,16199999812,1.29%,-0.04%,-0.68%
895,Xaurum,XAUR,2430563,71186297,2.82%,-10.46%,-8.66%
896,NPCoin,NPC,2413250,72457335,8.18%,-1.92%,-3.85%
897,CommerceBlock,CBT,2396463,174866686,6.52%,5.59%,15.48%
898,ODUWA,OWC,2390220,4188884,18.13%,32.68%,-17.31%
899,Blue Whale EXchange,BWX,2104009,43634693,-9.94%,-11.95%,17.47%
900,Hydro,HYDRO,2367130,11046612734,1.61%,-2.43%,-0.16%
901,Global Social Chain,GSC,2378320,572806486,2.41%,3.57%,2.19%
902,UGAS,UGAS,2367830,171719420,1.58%,0.31%,3.00%
903,Hubii Network,HBT,2352636,15485602,2.06%,-19.88%,-27.61%
904,Blackmoon,BMC,2342020,54000000,1.84%,8.87%,-0.83%
905,Edge,DADI,2333252,100000000,0.01%,-22.28%,-45.80%
906,LUKSO,LYXe,2346111,3803994,3.51%,-7.01%,-9.14%
907,CryptoPing,PING,2325456,8999635,1.84%,3.79%,3.77%
908,Red Pulse Phoenix,PHX,2325280,829588687,2.09%,1.79%,-10.96%
909,BitCapitalVendor,BCV,2324805,976399995,2.12%,-0.04%,-7.47%
910,ONOToken,ONOT,2316946,17942419249,0.22%,-66.10%,-87.56%
911,Growth DeFi,GRO,2312138,103565,1.39%,-3.19%,0.27%
912,Mysterium,MYST,2313732,15100432,0.53%,0.01%,-23.81%
914,Rarible,RARI,2273252,855330,0.15%,-10.25%,-37.39%
915,Myriad,XMY,2282260,1754489000,8.74%,-6.80%,2.11%
916,Noku,NOKU,2272573,29733709,2.55%,-0.69%,0.85%
917,Verasity,VRA,2267906,3880889139,1.19%,0.23%,-14.96%
918,Matrix AI Network,MAN,2248962,214302042,11.47%,1.95%,25.80%
919,Esportbits,HLT,2235412,23013360,-1.01%,-0.95%,-3.93%
920,ALQO,XLQ,2256254,64664324,-8.98%,2.05%,17.38%
921,Alias,ALIAS,2251056,26245632,1.84%,9.11%,-5.63%
923,DECOIN,DTEP,2285909,53716686,5.35%,11.20%,21.82%
924,Rotten,ROT,2208765,24279610,1.26%,-0.61%,-1.82%
926,Skrumble Network,SKM,2198135,1021680996,0.82%,-3.81%,-16.91%
927,Hiveterminal Token,HVN,2204364,500000000,1.95%,7.25%,1.34%
928,OctoFi,OCTO,2199390,344553,-7.02%,-30.52%,-23.26%
929,DeepBrain Chain,DBC,2173237,3200000000,1.74%,-5.39%,4.61%
930,SIX,SIX,2168145,273776596,0.10%,0.50%,7.34%
931,BOLT,BOLT,2194564,991283100,2.89%,-5.23%,-14.17%
932,IG Gold,IGG,2157383,8856541707,1.26%,2.49%,-1.82%
933,Shift,SHIFT,2145212,13860686,-0.21%,0.13%,1.79%
934,LNX Protocol,LNX,2113683,271607626,0.00%,0.00%,0.00%
935,JUIICE,JUI,2114405,6600000100,1.58%,-2.94%,424.63%
936,Permission Coin,ASK,2114452,4110077464,0.66%,2.47%,-1.08%
937,THEKEY,TKY,2110387,6210789109,2.80%,-5.96%,-19.67%
938,Credo,CREDO,2081253,549891703,2.06%,-0.10%,-1.10%
939,Vexanium,VEX,2066589,703869976,0.24%,-1.44%,-6.41%
940,Digital Asset Guarantee Token,DAGT,2067906,33100000,16.49%,6.73%,14.61%
941,Auctus,AUC,2051554,30967682,2.10%,-10.12%,-30.18%
942,Bitcoin Atom,BCA,2022387,18418931,-7.42%,3.50%,-5.19%
943,Stealth,XST,2010470,37312813,1.87%,1.59%,-8.47%
944,LiteDoge,LDOGE,2003543,16422580992,1.84%,4.19%,6.71%
945,Education Ecosystem,LEDU,1983368,222459521,2.04%,56.90%,35.77%
946,Voise,VOISE,1977051,549336806,1.84%,4.19%,6.71%
947,Lynx,LYNX,1949946,76970317808,2.42%,3.68%,4.42%
949,VIG,VIG,1948838,686365767,-1.40%,-20.95%,-34.24%
950,Midas,MIDAS,1930187,1344804,1.84%,2.77%,0.79%
951,Dimecoin,DIME,1925917,4.78E+11,1.87%,12.28%,-35.23%
952,Curecoin,CURE,1924216,24711001,-2.21%,-0.09%,8.08%
953,Budbo,BUBO,1921548,82033777,1.84%,1.54%,-33.69%
954,Ambrosus,AMB,1912916,128774303,-0.94%,-3.99%,-18.57%
955,Swarm,SWM,1911699,78189670,-1.09%,2.36%,2.34%
957,QunQun,QUN,1907379,729777775,0.79%,1.63%,-1.10%
958,AMLT,AMLT,1899431,250536851,3.40%,8.57%,11.28%
959,Blockmason Credit Protocol,BCPT,1898952,116158667,-1.11%,-3.06%,-10.07%
960,General Attention Currency,XAC,1890989,10000000,1.84%,-75.64%,-75.78%
961,Carboncoin,CARBON,1877816,15392022544,1.84%,4.19%,6.71%
962,Caspian,CSP,1877390,449036296,1.44%,2.59%,-10.96%
963,Blockchain Certified Data Token,BCDT,1863459,37835044,2.06%,-0.10%,-17.51%
964,DAOBet,BET,1853445,167270821,2.51%,-1.49%,1.26%
965,Cube,AUTO,1853691,6774940000,106.70%,-2.57%,-12.94%
966,Feathercoin,FTC,1849257,295273240,1.11%,0.93%,-12.88%
967,FinNexus,FNX,1842793,13069864,0.15%,-4.54%,-13.70%
968,Radium,RADS,1838017,4136597,1.24%,1.26%,-15.59%
969,Unikoin Gold,UKG,1833653,149397371,1.85%,3.94%,6.25%
970,Asch,XAS,1820880,93355331,3.35%,4.59%,-36.91%
971,OneLedger,OLT,1846012,433138946,1.20%,3.67%,20.68%
972,1World,1WO,1877027,24656341,6.80%,-1.05%,-2.65%
973,HTMLCOIN,HTML,1828272,53067332240,0.32%,1.35%,0.44%
974,Cryptaur,CPT,1820023,12910321437,1.76%,-1.49%,2.93%
975,Nyzo,NYZO,1818572,11919651,0.58%,3.45%,-2.08%
976,Axis DeFi,AXIS,1763769,2084401,-0.61%,6.22%,0.26%
977,Winding Tree,LIF,1803628,21639227,2.06%,-0.10%,-14.67%
978,Skychain,SKCH,1798096,7485311,1.94%,2.93%,0.10%
979,Loopring [NEO],LRN,1797432,113602931,-7.05%,-7.54%,-15.02%
980,Vid,VI,1795907,15422563,0.19%,-0.03%,-0.24%
981,Remme,REM,1788779,1000000000,0.26%,-3.37%,-9.42%
982,EOS Force,EOSC,1782390,964070125,2.73%,-13.26%,1.79%
983,OceanEx Token,OCE,1841558,1788038022,1.19%,-13.19%,-16.22%
984,HoryouToken,HYT,1774478,1089467817,1.99%,1.30%,288.16%
985,Colu Local Network,CLN,1775304,99826836,2.06%,-0.10%,-1.10%
986,Pantos,PAN,1766060,30650607,0.66%,10.94%,16.19%
987,TRONCLASSIC,TRXC,1762120,4.65E+11,2.06%,-0.10%,-1.10%
988,NoLimitCoin,NLC2,1758370,618208181,1.84%,-8.89%,-2.82%
989,Lightstreams,PHT,1753860,45928016,2.13%,0.34%,0.81%
990,Coineal Token,NEAL,1747084,260123561,0.70%,3.72%,8.58%
991,Jarvis Network,JRT,1743752,29005880,1.00%,-6.91%,-16.56%
992,Litex,LXT,1737240,1152999987,-0.65%,-5.38%,-3.94%
993,Freyrchain,FREC,1738637,500000000,0.09%,0.58%,1.01%
994,BakeryToken,BAKE,1738594,68784286,-3.63%,-1.37%,16.20%
995,Tokes,TKS,1720622,199999574,-0.27%,3.71%,8.54%
996,BitTube,TUBE,1714337,287996656,3.76%,-8.78%,-1.40%
997,Crown,CRW,1708967,25764404,1.91%,3.06%,-13.44%
998,Pundi X NEM,NPXSXEM,1721320,18432882455,3.10%,2.84%,10.58%
1001,Cryptocean,CRON,1693949,8194301,1.35%,5.72%,6.47%
1002,UniLend,UFT,1683488,10800000,12.51%,-7.83%,0.00%
1003,Trias,TRY,1665567,2300000000,-1.13%,0.41%,-12.64%
1004,Odyssey,OCN,1660920,6617297215,0.63%,-0.83%,-10.62%
1005,WPP TOKEN,WPP,1659971,1392904509,1.55%,-6.52%,-28.58%
1006,Waves Community Token,WCT,1656744,9999960,1.86%,4.17%,-19.49%
1007,NuShares,NSR,1652630,4806007873,1.86%,11.23%,-3.08%
1008,Kuai Token,KT,1653989,10933484,0.23%,0.22%,0.97%
1009,NOW Token,NOW,1643163,79694980,1.31%,-18.92%,28.00%
1010,Fesschain,FESS,1651765,105083256,-5.47%,-11.39%,98.07%
1011,BarterTrade,BART,1623864,68172420,-1.86%,0.30%,-13.32%
1012,Change,CAG,1628909,19673647,1.40%,-2.50%,-5.69%
1013,BUX Platform Token,BPT,1624798,57904773,1.84%,2.84%,-4.13%
1014,BIDR,BIDR,1624850,23700000000,0.57%,0.74%,-0.05%
1015,Emercoin,EMC,1620487,46383524,1.78%,4.68%,3.42%
1016,Tokoin,TOKO,1664631,178664008,3.13%,4.31%,3.31%
1017,Litecoin Cash,LCC,1607668,695395575,2.01%,-10.85%,-24.95%
1018,Swace,SWACE,1607351,513292589,1.26%,2.68%,-5.89%
1019,Swingby,SWINGBY,1601653,31337755,-0.91%,-0.67%,-43.34%
1020,Ravencoin Classic,RVC,1693889,7275610000,7.29%,8.83%,-34.11%
1021,Naka Bodhi Token,NBOT,1595487,70000000,0.81%,-0.49%,-9.96%
1022,CoTrader,COT,1596320,18886520618,1.22%,-0.28%,-8.17%
1023,Lympo,LYM,1594464,826672979,0.58%,-1.34%,-10.20%
1024,Bismuth,BIS,1592366,13738963,2.49%,0.97%,-9.23%
1025,Sharder,SS,1578523,283282765,2.26%,-1.79%,-1.34%
1026,Iconic Token,ICNQ,1577787,7993335,2.06%,-0.10%,-6.30%
1027,Hyprr (Howdoo),UDOO,1576104,97821309,1.59%,-2.19%,-52.39%
1028,CanonChain,CZR,1544053,582212719,2.06%,-8.35%,-17.31%
1029,carVertical,CV,1541501,7625478192,0.74%,-1.05%,2.17%
1030,Constant,CONST,1536855,50706,2.06%,-0.10%,-1.12%
1031,Rubycoin,RBY,1511949,27601562,1.84%,4.19%,-25.72%
1032,TrueFlip,TFL,1493821,6247267,1.86%,3.65%,9.84%
1033,WeOwn,CHX,1485397,99719012,3.28%,1.83%,1.55%
1034,Ulord,UT,1446409,74536667,-0.07%,-12.37%,-8.78%
1035,Omni,OMNI,1485400,562763,0.00%,-1.08%,-0.75%
1036,Humanscape,HUM,1371343,472929925,-2.27%,0.42%,-10.10%
1037,CanYaCoin,CAN,1482830,95826983,-22.76%,-25.34%,0.55%
1038,OKCash,OK,1476440,77253007,0.22%,-4.87%,-2.96%
1039,ProChain,PRA,1461537,50000000,0.01%,0.07%,2.32%
1040,VeriDocGlobal,VDG,1451167,8705270469,6.92%,-0.10%,6.11%
1041,Internxt,INXT,1448772,629610,3.47%,11.84%,4.80%
1042,Terracoin,TRC,1447271,22935396,1.88%,4.29%,5.87%
1043,Titan Coin,TTN,1444552,910820150,1.84%,4.97%,-0.91%
1044,BOX Token,BOX,1438077,99776753,1.86%,0.53%,5.68%
1045,Parachute,PAR,1436443,569004587,3.60%,-31.47%,-24.76%
1046,EchoLink,EKO,1430134,500000000,2.52%,-0.07%,18.32%
1047,PegNet,PEG,1425693,1932472596,1.59%,4.92%,4.22%
1048,DAEX,DAX,1416540,354666702,-1.39%,-4.96%,-6.44%
1049,ZClassic,ZCL,1416325,9000111,3.06%,-9.45%,-17.34%
1050,BABB,BAX,1410626,36781211915,-6.41%,-26.56%,-2.44%
1051,CEEK VR,CEEK,1410940,603653460,-0.04%,1.53%,-5.76%
1052,Bean Cash,BITB,1409913,3852245000,1.84%,4.19%,6.71%
1053,Polyient Games Governance Token,PGT,1411174,15218,1.03%,-11.27%,-36.42%
1054,HOLD,HOLD,1404583,704821305,2.06%,-0.10%,73.37%
1055,MB8 Coin,MB8,1401477,161796931,1.84%,8.78%,76.20%
1056,e-Gulden,EFL,1400365,17143907,1.85%,-3.08%,9.17%
1057,YEE,YEE,1400341,1365218125,-2.55%,-6.94%,-22.95%
1058,Connectome,CNTM,1397004,1210675,0.45%,8.32%,-0.47%
1059,EXRNchain,EXRN,1391282,92500000000,2.06%,39.65%,17.82%
1060,SyncFab,MFG,1389351,249040956,0.87%,-0.13%,-8.02%
1061,Color Platform,CLR,1386290,137230262,0.95%,1.24%,-21.00%
1063,MenaPay,MPAY,1374924,134137876,1.78%,4.83%,18.09%
1064,Ixinium,XXA,1369913,13163059,0.14%,-6.94%,-7.75%
1065,Uptrennd,1UP,1367055,262024319,0.96%,2.45%,-3.43%
1066,Antiample,XAMP,1364913,465929910,-0.65%,-5.21%,0.58%
1067,Primecoin,XPM,1357186,33702003,1.96%,17.73%,5.15%
1069,Peerplays,PPY,1350128,4501541,2.15%,16.24%,16.60%
1071,PotCoin,POT,1344373,224888095,1.84%,-10.44%,-4.93%
1072,Pylon Finance,PYLON,1328521,7759,1.32%,-0.63%,-1.82%
1074,IONChain,IONC,1324690,121180605,2.06%,2.94%,5.77%
1076,X-CASH,XCASH,1320588,59060476967,5.25%,-1.52%,-1.09%
1077,Content Neutrality Network,CNN,1314733,39035223816,4.36%,-13.68%,-20.60%
1078,Upfiring,UFR,1311913,24000000,-0.42%,2.07%,-14.70%
1079,CargoX,CXO,1303038,158218230,0.75%,-7.74%,-8.15%
1080,MultiVAC,MTV,1299498,3587369426,3.42%,15.95%,-7.56%
1081,VeriCoin,VRC,1296429,33118461,1.38%,0.93%,0.70%
1082,Global Rental Token,GRT,1295765,30000000000,1.85%,1038.94%,1027.18%
1083,I/O Coin,IOC,1290871,18465925,1.84%,1.53%,-3.71%
1084,ROAD,ROAD,1288512,79300570,-2.48%,-26.01%,-82.38%
1085,Xfinance,XFI,1284800,23772,-0.40%,-21.05%,-77.02%
1086,LGO Token,LGO,1282905,53985545,1.26%,-25.73%,1.11%
1087,DreamTeam Token,DREAM,1280476,36199902,1.50%,2.36%,2.89%
1088,Tendies,TEND,1277639,7906689,-0.11%,-4.45%,-32.92%
1089,Aventus,AVT,1275966,6000000,16.63%,12.42%,-4.07%
1090,Isiklar Coin,ISIKC,1279337,2356240,-0.45%,0.29%,18.23%
1092,Footballcoin,XFC,1272621,374660526,2.02%,2.02%,3.90%
1093,TurtleNetwork,TN,1264203,88335911,1.63%,-18.91%,-17.45%
1094,SnowGem,XSG,1256297,29300308,2.56%,9.79%,24.96%
